phi1,phi2,phi3,Sbar1,Sbar2,Sbar3
0.0,0.46,0.54,0.804883425271436,0.8405773840529491,0.8590136390814155
0.0,0.47,0.53,0.8041085683672551,0.8399299462788289,0.8584346780171812
0.0,0.48,0.52,0.803336894716738,0.8392850442763116,0.8578579290669754
0.0,0.49,0.51,0.8025683744151487,0.838642654436121,0.8572833717188664
0.0,0.5,0.5,0.8018029786436334,0.8380027540347202,0.8567109862436646
0.0,0.51,0.49,0.8010406785428635,0.8373653202933442,0.8561407528535463
0.0,0.52,0.48,0.8002814458232799,0.8367303308885086,0.8555726521588343
0.0,0.53,0.47,0.7995252524142716,0.8360977636590753,0.8550066649061278
0.0,0.54,0.46,0.7987720708751165,0.8354675969503877,0.8544427722863753
0.0,0.55,0.45,0.7980218740616466,0.8348398093358995,0.8538809556860075
0.0,0.56,0.44,0.7972746347864093,0.8342143793330424,0.8533211964327673
0.0,0.57,0.43,0.7965303273364913,0.8335912866740468,0.8527634769332771
0.0,0.58,0.42,0.7957889250341141,0.8329705102644875,0.8522077788460632
0.0,0.59,0.41,0.7950504023387484,0.8323520299432171,0.8516540846569073
0.0,0.6,0.4,0.7943147339678195,0.8317358257467681,0.8511023770206426
0.0,0.61,0.39,0.7935818946042715,0.831121877664628,0.8505526385421365
0.0,0.62,0.38,0.7928518598359968,0.8305101664265402,0.8500048524813697
0.0,0.63,0.37,0.7921246052401846,0.829900672735835,0.8494590020671369
0.0,0.64,0.36,0.7914001065381006,0.829293377399257,0.8489150706133607
0.0,0.65,0.35,0.790678340265216,0.8286882618890339,0.848373042022666
0.0,0.66,0.34,0.7899592828090424,0.8280853075366985,0.84783290006446
0.0,0.67,0.33,0.7892429112057201,0.827484496201204,0.8472946289735084
0.0,0.68,0.32,0.7885292025121778,0.8268858097427898,0.8467582129787541
0.0,0.69,0.31,0.7878181342986073,0.826289230436292,0.8462236366737235
0.0,0.7,0.3,0.7871096845647302,0.8256947409013363,0.8456908849541679
0.0,0.71,0.29,0.7864038305027428,0.8251023230643891,0.8451599420879534
0.0,0.72,0.28,0.7857005512426426,0.8245119604629736,0.8446307937801996
0.0,0.73,0.27,0.7849998252005375,0.8239236360206545,0.8441034251793876
0.0,0.74,0.26,0.7843016312134145,0.8233373329995693,0.8435778217310981
0.0,0.75,0.25,0.7836059484581039,0.8227530349327422,0.843053969117491
0.0,0.76,0.24,0.7829127563224915,0.8221707255162057,0.8425318531607122
0.0,0.77,0.23,0.7822220343461282,0.8215903885593184,0.8420114597784354
0.0,0.78,0.22,0.7815337627313198,0.8210120084144655,0.8414927753693024
0.0,0.79,0.21,0.7808479211207039,0.8204355689500921,0.8409757858920738
0.0,0.8,0.2,0.7801644904594661,0.8198610551159263,0.8404604782694463
0.0,0.81,0.19,0.7794834512211378,0.8192884514521538,0.8399468390511413
0.0,0.82,0.18,0.7788047841498359,0.8187177427133526,0.8394348549735273
0.0,0.83,0.17,0.7781284704954295,0.8181489140665565,0.8389245131374369
0.0,0.84,0.16,0.7774544914808306,0.8175819506435168,0.8384158006065981
0.0,0.85,0.15,0.7767828288511169,0.817016838002789,0.8379087048223117
0.0,0.86,0.14,0.7761134642644971,0.8164535616176123,0.8374032131440367
0.0,0.87,0.13,0.7754463797771459,0.8158921072839981,0.8368993132156527
0.0,0.88,0.12,0.7747815575551708,0.8153324608785816,0.8363969927482544
0.0,0.89,0.11,0.7741189800988456,0.8147746085475591,0.8358962396898121
0.0,0.9,0.1,0.7734586299336881,0.8142185364468171,0.8353970419919948
0.0,0.91,0.09,0.7728004900234744,0.81366423108988,0.8348993879225979
0.0,0.92,0.08,0.7721445435170677,0.8131116791349896,0.8344032658745157
0.0,0.93,0.07,0.7714907732202044,0.8125608669402162,0.833908663966315
0.0,0.94,0.06,0.7708391631376101,0.8120117818628477,0.833415571209075
0.0,0.95,0.05,0.7701896963437069,0.8114644104655653,0.8329239758956825
0.0,0.96,0.04,0.7695423570380632,0.8109187402485993,0.8324338671564008
0.0,0.97,0.03,0.7688971290420145,0.8103747583829881,0.8319452338213407
0.0,0.98,0.02,0.768253996666281,0.8098324524420093,0.8314580650774499
0.0,0.99,0.01,0.7676129442411751,0.8092918100053279,0.8309723501130324
0.0,1.0,0.0,0.7669739563920697,0.8087528188914274,0.8304880783266138
0.01,0.0,0.99,0.8415853216829783,0.8711036539792649,0.8862488345411769
0.01,0.01,0.98,0.8406398913769197,0.8703206932184012,0.8855517935855745
0.01,0.02,0.97,0.8396994370518324,0.8695416785865618,0.8848581879254863
0.01,0.03,0.96,0.8387638989231961,0.868766563079337,0.8841679768045662
0.01,0.04,0.95,0.8378332205094968,0.8679953023780271,0.8834811218360435
0.01,0.05,0.94,0.8369073452889764,0.8672278520815346,0.8827975845386296
0.01,0.06,0.93,0.8359862171706635,0.866464168097225,0.8821173266848121
0.01,0.07,0.92,0.8350697828454297,0.8657042085914953,0.8814403120389286
0.01,0.08,0.91,0.834157988999917,0.864947931681494,0.880766504301732
0.01,0.09,0.9,0.8332507811967843,0.8641952945063535,0.8800958662828806
0.01,0.1,0.89,0.8323481100794213,0.8634462583757099,0.8794283644889446
0.01,0.11,0.88,0.8314499236073098,0.8627007823293794,0.878763963385342
0.01,0.12,0.87,0.8305561722124951,0.8619588274163825,0.878102629209647
0.01,0.13,0.86,0.8296668068783583,0.8612203551019944,0.8774443285525908
0.01,0.14,0.85,0.8287817796654439,0.8604853277052575,0.8767890287484598
0.01,0.15,0.84,0.8279010427425945,0.8597537075952849,0.8761366971589847
0.01,0.16,0.83,0.8270245495767334,0.8590254581802644,0.8754873020554438
0.01,0.17,0.82,0.8261522549199988,0.8583005438981587,0.8748408126109715
